seed,grouping,label_mode,budget,competence,classes,requested_examples,actual_examples,transfer_indices
0,random,pseudo,10,3,"[1,2,5,8]",10,10,"[204,556,702,778,781,890,1264,1440,1530,1617]"
0,random,pseudo,10,4,[7],10,10,"[263,403,820,894,1009,1019,1164,1269,1348,1748]"
0,random,pseudo,20,1,"[0,4,6,9]",20,20,"[30,247,280,320,323,490,608,772,854,1060,1106,1239,1278,1424,1487,1515,1520,1561,1608,1671]"
0,random,pseudo,20,2,[3],20,20,"[231,446,539,576,605,619,649,749,964,1052,1090,1116,1202,1216,1240,1332,1347,1350,1478,1518]"
0,random,pseudo,20,3,"[1,2,5,8]",20,20,"[46,57,138,186,227,440,476,657,721,766,930,1136,1192,1295,1420,1466,1472,1617,1637,1648]"
0,random,pseudo,20,4,[7],20,20,"[17,27,52,86,263,299,690,698,963,1019,1036,1073,1121,1164,1269,1422,1467,1653,1674,1779]"
0,random,pseudo,40,1,"[0,4,6,9]",40,40,"[106,130,140,164,185,275,290,361,377,514,608,627,710,718,728,772,854,902,911,931,974,1005,1023,1096,1137,1221,1235,1239,1254,1262,1278,1282,1555,1562,1677,1687,1704,1716,1778,1788]"
0,random,pseudo,40,2,[3],40,37,"[45,63,189,190,231,318,339,389,446,539,576,605,614,619,649,708,749,867,964,990,1052,1090,1116,1118,1125,1180,1202,1216,1240,1332,1347,1350,1478,1518,1566,1606,1750]"
0,random,pseudo,40,3,"[1,2,5,8]",40,40,"[1,129,138,170,204,258,277,307,388,436,476,556,693,778,846,987,1014,1051,1081,1175,1189,1192,1242,1264,1271,1295,1299,1308,1315,1420,1530,1585,1596,1619,1650,1666,1669,1707,1709,1741]"
0,random,pseudo,40,4,[7],40,36,"[17,27,52,86,147,191,240,263,299,403,438,472,560,690,698,820,870,894,963,1009,1019,1036,1073,1121,1139,1164,1238,1269,1348,1422,1442,1467,1653,1674,1748,1779]"
0,random,true,5,1,"[0,4,6,9]",5,5,"[514,650,1005,1060,1194]"
0,random,true,5,2,[3],5,5,"[749,964,1216,1332,1518]"
0,random,true,5,3,"[1,2,5,8]",5,5,"[57,123,170,227,1741]"
0,random,true,5,4,[7],5,5,"[698,870,894,1348,1748]"
0,random,true,10,1,"[0,4,6,9]",10,10,"[100,209,282,290,381,924,1023,1092,1328,1562]"
0,random,true,10,2,[3],10,10,"[189,190,231,339,389,1052,1240,1347,1350,1566]"
0,random,true,10,3,"[1,2,5,8]",10,10,"[204,556,702,778,781,890,1264,1440,1530,1617]"
0,random,true,10,4,[7],10,10,"[263,403,820,894,1009,1019,1164,1269,1348,1748]"
0,random,true,20,1,"[0,4,6,9]",20,20,"[30,247,280,320,323,490,608,772,854,1060,1106,1239,1278,1424,1487,1515,1520,1561,1608,1671]"
0,random,true,20,2,[3],20,20,"[231,446,539,576,605,619,649,749,964,1052,1090,1116,1202,1216,1240,1332,1347,1350,1478,1518]"
0,random,true,20,3,"[1,2,5,8]",20,20,"[46,57,138,186,227,440,476,657,721,766,930,1136,1192,1295,1420,1466,1472,1617,1637,1648]"
0,random,true,20,4,[7],20,20,"[17,27,52,86,263,299,690,698,963,1019,1036,1073,1121,1164,1269,1422,1467,1653,1674,1779]"
0,random,true,40,1,"[0,4,6,9]",40,40,"[106,130,140,164,185,275,290,361,377,514,608,627,710,718,728,772,854,902,911,931,974,1005,1023,1096,1137,1221,1235,1239,1254,1262,1278,1282,1555,1562,1677,1687,1704,1716,1778,1788]"
0,random,true,40,2,[3],40,37,"[45,63,189,190,231,318,339,389,446,539,576,605,614,619,649,708,749,867,964,990,1052,1090,1116,1118,1125,1180,1202,1216,1240,1332,1347,1350,1478,1518,1566,1606,1750]"
0,random,true,40,3,"[1,2,5,8]",40,40,"[1,129,138,170,204,258,277,307,388,436,476,556,693,778,846,987,1014,1051,1081,1175,1189,1192,1242,1264,1271,1295,1299,1308,1315,1420,1530,1585,1596,1619,1650,1666,1669,1707,1709,1741]"
0,random,true,40,4,[7],40,36,"[17,27,52,86,147,191,240,263,299,403,438,472,560,690,698,820,870,894,963,1009,1019,1036,1073,1121,1139,1164,1238,1269,1348,1422,1442,1467,1653,1674,1748,1779]"
1,competence,pseudo,5,1,"[1,2,4,5,7,8,9]",5,5,"[183,428,934,1075,1766]"
1,competence,pseudo,5,2,[6],5,5,"[522,620,871,1449,1519]"
1,competence,pseudo,5,3,[3],5,5,"[605,874,1032,1074,1118]"
1,competence,pseudo,5,4,[0],5,5,"[266,564,617,1323,1413]"
1,competence,pseudo,10,1,"[1,2,4,5,7,8,9]",10,10,"[317,337,527,570,1048,1111,1288,1291,1721,1766]"
1,competence,pseudo,10,2,[6],10,10,"[195,351,713,871,996,1122,1222,1354,1609,1683]"
1,competence,pseudo,10,3,[3],10,10,"[269,605,614,999,1032,1074,1118,1217,1349,1385]"
1,competence,pseudo,10,4,[0],10,10,"[202,209,564,701,981,1099,1366,1388,1687,1715]"
1,competence,pseudo,20,1,"[1,2,4,5,7,8,9]",20,20,"[27,167,230,258,454,733,755,794,817,844,893,1070,1121,1181,1288,1363,1440,1571,1622,1684]"
1,competence,pseudo,20,2,[6],20,20,"[88,106,188,195,351,420,550,704,713,728,996,1122,1173,1222,1449,1482,1519,1629,1725,1733]"
1,competence,pseudo,20,3,[3],20,20,"[133,189,269,318,389,469,599,605,614,705,821,1042,1087,1118,1217,1346,1385,1477,1605,1670]"
1,competence,pseudo,20,4,[0],20,20,"[0,185,266,382,564,666,694,701,981,1025,1049,1099,1187,1206,1359,1388,1413,1687,1697,1703]"
1,competence,pseudo,40,1,"[1,2,4,5,7,8,9]",40,40,"[8,76,108,113,125,151,312,324,371,375,461,570,733,868,887,1013,1015,1022,1070,1088,1113,1121,1144,1175,1192,1214,1231,1272,1275,1276,1279,1280,1291,1322,1324,1337,1584,1600,1740,1760]"
1,competence,pseudo,40,2,[6],40,36,"[88,95,106,188,195,212,234,351,420,474,492,522,550,620,704,713,728,871,996,1109,1122,1173,1183,1222,1354,1449,1482,1519,1561,1601,1609,1629,1636,1683,1725,1733]"
1,competence,pseudo,40,3,[3],40,37,"[13,133,189,231,269,318,385,389,469,489,599,605,614,705,779,821,874,918,961,999,1032,1042,1074,1087,1118,1180,1217,1346,1349,1385,1390,1438,1477,1506,1588,1605,1670]"
1,competence,pseudo,40,4,[0],40,36,"[0,49,79,150,185,202,209,252,266,292,382,406,564,617,666,694,701,786,981,1025,1049,1099,1187,1206,1212,1283,1323,1336,1359,1366,1388,1413,1687,1697,1703,1715]"
1,competence,true,5,1,"[1,2,4,5,7,8,9]",5,5,"[183,428,934,1075,1766]"
1,competence,true,5,2,[6],5,5,"[522,620,871,1449,1519]"
1,competence,true,5,3,[3],5,5,"[605,874,1032,1074,1118]"
1,competence,true,5,4,[0],5,5,"[266,564,617,1323,1413]"
1,competence,true,10,1,"[1,2,4,5,7,8,9]",10,10,"[317,337,527,570,1048,1111,1288,1291,1721,1766]"
1,competence,true,10,2,[6],10,10,"[195,351,713,871,996,1122,1222,1354,1609,1683]"
1,competence,true,10,3,[3],10,10,"[269,605,614,999,1032,1074,1118,1217,1349,1385]"
1,competence,true,10,4,[0],10,10,"[202,209,564,701,981,1099,1366,1388,1687,1715]"
1,competence,true,20,1,"[1,2,4,5,7,8,9]",20,20,"[27,167,230,258,454,733,755,794,817,844,893,1070,1121,1181,1288,1363,1440,1571,1622,1684]"
1,competence,true,20,2,[6],20,20,"[88,106,188,195,351,420,550,704,713,728,996,1122,1173,1222,1449,1482,1519,1629,1725,1733]"
1,competence,true,20,3,[3],20,20,"[133,189,269,318,389,469,599,605,614,705,821,1042,1087,1118,1217,1346,1385,1477,1605,1670]"
1,competence,true,20,4,[0],20,20,"[0,185,266,382,564,666,694,701,981,1025,1049,1099,1187,1206,1359,1388,1413,1687,1697,1703]"
1,competence,true,40,1,"[1,2,4,5,7,8,9]",40,40,"[8,76,108,113,125,151,312,324,371,375,461,570,733,868,887,1013,1015,1022,1070,1088,1113,1121,1144,1175,1192,1214,1231,1272,1275,1276,1279,1280,1291,1322,1324,1337,1584,1600,1740,1760]"
1,competence,true,40,2,[6],40,36,"[88,95,106,188,195,212,234,351,420,474,492,522,550,620,704,713,728,871,996,1109,1122,1173,1183,1222,1354,1449,1482,1519,1561,1601,1609,1629,1636,1683,1725,1733]"
1,competence,true,40,3,[3],40,37,"[13,133,189,231,269,318,385,389,469,489,599,605,614,705,779,821,874,918,961,999,1032,1042,1074,1087,1118,1180,1217,1346,1349,1385,1390,1438,1477,1506,1588,1605,1670]"
1,competence,true,40,4,[0],40,36,"[0,49,79,150,185,202,209,252,266,292,382,406,564,617,666,694,701,786,981,1025,1049,1099,1187,1206,1212,1283,1323,1336,1359,1366,1388,1413,1687,1697,1703,1715]"
1,random,pseudo,5,1,"[1,2,3,5,7,8,9]",5,5,"[167,403,963,1087,1748]"
1,random,pseudo,5,2,[4],5,5,"[603,650,733,1070,1181]"
1,random,pseudo,5,3,[6],5,5,"[550,996,1122,1173,1629]"
1,random,pseudo,5,4,[0],5,5,"[266,564,617,1323,1413]"
1,random,pseudo,10,1,"[1,2,3,5,7,8,9]",10,10,"[303,318,513,599,1081,1113,1295,1322,1714,1760]"
1,random,pseudo,10,2,[4],10,10,"[377,454,710,733,743,844,998,1022,1387,1584]"
1,random,pseudo,10,3,[6],10,10,"[195,212,522,550,1109,1173,1183,1449,1561,1683]"
1,random,pseudo,10,4,[0],10,10,"[202,209,564,701,981,1099,1366,1388,1687,1715]"
1,random,pseudo,20,1,"[1,2,3,5,7,8,9]",20,20,"[22,155,201,231,498,601,888,961,1041,1087,1111,1118,1385,1440,1492,1505,1571,1574,1616,1748]"
1,random,pseudo,20,2,[4],20,20,"[260,324,353,377,454,520,616,660,710,714,743,844,887,998,1070,1127,1181,1512,1661,1788]"
1,random,pseudo,20,3,[6],20,20,"[95,106,195,212,351,420,492,522,550,620,713,1173,1222,1354,1449,1482,1519,1629,1683,1733]"
1,random,pseudo,20,4,[0],20,20,"[0,185,266,382,564,666,694,701,981,1025,1049,1099,1187,1206,1359,1388,1413,1687,1697,1703]"
1,random,pseudo,40,1,"[1,2,3,5,7,8,9]",40,40,"[8,105,109,123,141,308,371,423,469,471,476,506,794,809,938,963,1018,1028,1083,1101,1112,1113,1217,1279,1284,1288,1346,1349,1380,1406,1432,1440,1447,1465,1492,1528,1542,1588,1622,1737]"
1,random,pseudo,40,2,[4],40,36,"[260,270,324,353,377,390,450,454,520,530,540,603,616,650,660,710,714,733,743,817,844,887,897,998,1022,1070,1127,1181,1254,1291,1387,1512,1526,1584,1661,1788]"
1,random,pseudo,40,3,[6],40,36,"[88,95,106,188,195,212,234,351,420,474,492,522,550,620,704,713,728,871,996,1109,1122,1173,1183,1222,1354,1449,1482,1519,1561,1601,1609,1629,1636,1683,1725,1733]"
1,random,pseudo,40,4,[0],40,36,"[0,49,79,150,185,202,209,252,266,292,382,406,564,617,666,694,701,786,981,1025,1049,1099,1187,1206,1212,1283,1323,1336,1359,1366,1388,1413,1687,1697,1703,1715]"
1,random,true,5,1,"[1,2,3,5,7,8,9]",5,5,"[167,403,963,1087,1748]"
1,random,true,5,2,[4],5,5,"[603,650,733,1070,1181]"
1,random,true,5,3,[6],5,5,"[550,996,1122,1173,1629]"
1,random,true,5,4,[0],5,5,"[266,564,617,1323,1413]"
1,random,true,10,1,"[1,2,3,5,7,8,9]",10,10,"[303,318,513,599,1081,1113,1295,1322,1714,1760]"
1,random,true,10,2,[4],10,10,"[377,454,710,733,743,844,998,1022,1387,1584]"
1,random,true,10,3,[6],10,10,"[195,212,522,550,1109,1173,1183,1449,1561,1683]"
1,random,true,10,4,[0],10,10,"[202,209,564,701,981,1099,1366,1388,1687,1715]"
1,random,true,20,1,"[1,2,3,5,7,8,9]",20,20,"[22,155,201,231,498,601,888,961,1041,1087,1111,1118,1385,1440,1492,1505,1571,1574,1616,1748]"
1,random,true,20,2,[4],20,20,"[260,324,353,377,454,520,616,660,710,714,743,844,887,998,1070,1127,1181,1512,1661,1788]"
1,random,true,20,3,[6],20,20,"[95,106,195,212,351,420,492,522,550,620,713,1173,1222,1354,1449,1482,1519,1629,1683,1733]"
1,random,true,20,4,[0],20,20,"[0,185,266,382,564,666,694,701,981,1025,1049,1099,1187,1206,1359,1388,1413,1687,1697,1703]"
1,random,true,40,1,"[1,2,3,5,7,8,9]",40,40,"[8,105,109,123,141,308,371,423,469,471,476,506,794,809,938,963,1018,1028,1083,1101,1112,1113,1217,1279,1284,1288,1346,1349,1380,1406,1432,1440,1447,1465,1492,1528,1542,1588,1622,1737]"
1,random,true,40,2,[4],40,36,"[260,270,324,353,377,390,450,454,520,530,540,603,616,650,660,710,714,733,743,817,844,887,897,998,1022,1070,1127,1181,1254,1291,1387,1512,1526,1584,1661,1788]"
1,random,true,40,3,[6],40,36,"[88,95,106,188,195,212,234,351,420,474,492,522,550,620,704,713,728,871,996,1109,1122,1173,1183,1222,1354,1449,1482,1519,1561,1601,1609,1629,1636,1683,1725,1733]"
1,random,true,40,4,[0],40,36,"[0,49,79,150,185,202,209,252,266,292,382,406,564,617,666,694,701,786,981,1025,1049,1099,1187,1206,1212,1283,1323,1336,1359,1366,1388,1413,1687,1697,1703,1715]"
2,competence,pseudo,5,1,"[2,8]",5,5,"[249,1017,1057,1409,1511]"
2,competence,pseudo,5,2,"[0,1,3,4,5,9]",5,5,"[169,400,621,855,957]"
2,competence,pseudo,5,3,[7],5,5,"[273,732,1201,1587,1719]"
2,competence,pseudo,5,4,[6],5,5,"[581,704,871,1115,1369]"
2,competence,pseudo,10,1,"[2,8]",10,10,"[51,243,645,658,1037,1057,1273,1443,1689,1794]"
2,competence,pseudo,10,2,"[0,1,3,4,5,9]",10,10,"[31,33,343,519,531,774,958,1044,1420,1650]"
2,competence,pseudo,10,3,[7],10,10,"[43,447,559,1009,1201,1269,1339,1459,1649,1657]"
2,competence,pseudo,10,4,[6],10,10,"[136,420,711,871,1115,1183,1252,1577,1623,1701]"
2,competence,pseudo,20,1,"[2,8]",20,20,"[113,152,214,253,398,645,658,853,872,1037,1084,1210,1270,1309,1417,1443,1547,1593,1669,1689]"
2,competence,pseudo,20,2,"[0,1,3,4,5,9]",20,20,"[120,171,185,202,353,386,419,421,489,679,687,818,821,876,1062,1125,1287,1450,1513,1741]"
2,competence,pseudo,20,3,[7],20,20,"[43,137,236,240,273,299,308,447,559,1108,1201,1269,1314,1339,1459,1476,1587,1595,1649,1657]"
2,competence,pseudo,20,4,[6],20,20,"[26,58,66,67,95,136,146,212,704,871,882,968,984,1045,1115,1252,1601,1701,1732,1733]"
2,competence,pseudo,40,1,"[2,8]",40,40,"[51,76,113,152,183,214,249,253,268,313,369,371,398,482,501,524,645,829,830,898,905,997,1017,1047,1057,1084,1103,1211,1309,1364,1417,1443,1511,1547,1553,1593,1695,1763,1790,1794]"
2,competence,pseudo,40,2,"[0,1,3,4,5,9]",40,40,"[14,117,159,176,202,312,329,419,445,512,557,687,705,709,774,823,863,866,876,908,958,981,1018,1025,1039,1059,1065,1125,1170,1176,1231,1236,1328,1411,1412,1438,1522,1548,1612,1786]"
2,competence,pseudo,40,3,[7],40,36,"[17,43,137,182,191,236,240,273,299,308,317,403,447,494,559,732,894,1009,1046,1108,1201,1238,1269,1314,1339,1459,1476,1587,1595,1622,1649,1653,1657,1710,1719,1748]"
2,competence,pseudo,40,4,[6],40,36,"[26,58,66,67,95,136,146,212,360,420,581,662,704,711,713,728,810,871,882,968,984,1045,1115,1183,1252,1345,1369,1441,1473,1577,1601,1608,1623,1701,1732,1733]"
2,competence,true,5,1,"[2,8]",5,5,"[249,1017,1057,1409,1511]"
2,competence,true,5,2,"[0,1,3,4,5,9]",5,5,"[169,400,621,855,957]"
2,competence,true,5,3,[7],5,5,"[273,732,1201,1587,1719]"
2,competence,true,5,4,[6],5,5,"[581,704,871,1115,1369]"
2,competence,true,10,1,"[2,8]",10,10,"[51,243,645,658,1037,1057,1273,1443,1689,1794]"
2,competence,true,10,2,"[0,1,3,4,5,9]",10,10,"[31,33,343,519,531,774,958,1044,1420,1650]"
2,competence,true,10,3,[7],10,10,"[43,447,559,1009,1201,1269,1339,1459,1649,1657]"
2,competence,true,10,4,[6],10,10,"[136,420,711,871,1115,1183,1252,1577,1623,1701]"
2,competence,true,20,1,"[2,8]",20,20,"[113,152,214,253,398,645,658,853,872,1037,1084,1210,1270,1309,1417,1443,1547,1593,1669,1689]"
2,competence,true,20,2,"[0,1,3,4,5,9]",20,20,"[120,171,185,202,353,386,419,421,489,679,687,818,821,876,1062,1125,1287,1450,1513,1741]"
2,competence,true,20,3,[7],20,20,"[43,137,236,240,273,299,308,447,559,1108,1201,1269,1314,1339,1459,1476,1587,1595,1649,1657]"
2,competence,true,20,4,[6],20,20,"[26,58,66,67,95,136,146,212,704,871,882,968,984,1045,1115,1252,1601,1701,1732,1733]"
2,competence,true,40,1,"[2,8]",40,40,"[51,76,113,152,183,214,249,253,268,313,369,371,398,482,501,524,645,829,830,898,905,997,1017,1047,1057,1084,1103,1211,1309,1364,1417,1443,1511,1547,1553,1593,1695,1763,1790,1794]"
2,competence,true,40,2,"[0,1,3,4,5,9]",40,40,"[14,117,159,176,202,312,329,419,445,512,557,687,705,709,774,823,863,866,876,908,958,981,1018,1025,1039,1059,1065,1125,1170,1176,1231,1236,1328,1411,1412,1438,1522,1548,1612,1786]"
2,competence,true,40,3,[7],40,36,"[17,43,137,182,191,236,240,273,299,308,317,403,447,494,559,732,894,1009,1046,1108,1201,1238,1269,1314,1339,1459,1476,1587,1595,1622,1649,1653,1657,1710,1719,1748]"
2,competence,true,40,4,[6],40,36,"[26,58,66,67,95,136,146,212,360,420,581,662,704,711,713,728,810,871,882,968,984,1045,1115,1183,1252,1345,1369,1441,1473,1577,1601,1608,1623,1701,1732,1733]"
2,random,pseudo,5,1,"[4,6]",5,5,"[212,626,713,1221,1267]"
2,random,pseudo,5,2,"[1,2,3,5,7,9]",5,5,"[159,371,593,856,973]"
2,random,pseudo,5,3,[8],5,5,"[127,829,1047,1409,1410]"
2,random,pseudo,5,4,[0],5,5,"[516,725,981,1065,1287]"
2,random,pseudo,10,1,"[4,6]",10,10,"[4,239,581,603,711,871,873,1267,1732,1754]"
2,random,pseudo,10,2,"[1,2,3,5,7,9]",10,10,"[33,43,477,709,745,940,1024,1130,1329,1554]"
2,random,pseudo,10,3,[8],10,10,"[127,439,664,829,898,1103,1295,1443,1511,1553]"
2,random,pseudo,10,4,[0],10,10,"[382,512,772,981,1065,1177,1229,1388,1487,1677]"
2,random,pseudo,20,1,"[4,6]",20,20,"[58,67,121,171,360,557,603,704,817,984,1045,1115,1183,1267,1328,1441,1577,1601,1608,1671]"
2,random,pseudo,20,2,"[1,2,3,5,7,9]",20,20,"[120,161,176,200,308,336,375,387,460,675,677,823,826,901,1108,1155,1339,1532,1548,1719]"
2,random,pseudo,20,3,[8],20,20,"[127,168,253,439,482,524,643,645,829,898,1057,1103,1210,1295,1409,1410,1443,1553,1720,1743]"
2,random,pseudo,20,4,[0],20,20,"[78,185,202,304,357,382,386,458,725,981,1025,1029,1039,1059,1065,1229,1415,1677,1739,1768]"
2,random,pseudo,40,1,"[4,6]",40,40,"[4,26,58,67,97,121,146,171,239,270,324,343,360,420,427,454,603,687,704,756,810,863,871,876,882,968,984,1095,1244,1252,1345,1369,1411,1441,1473,1577,1623,1731,1733,1754]"
2,random,pseudo,40,2,"[1,2,3,5,7,9]",40,40,"[31,113,117,142,169,200,258,273,375,391,398,471,484,621,677,823,853,860,865,868,906,944,994,1009,1060,1075,1108,1125,1259,1269,1270,1285,1309,1329,1438,1513,1622,1649,1657,1723]"
2,random,pseudo,40,3,[8],40,35,"[76,127,168,183,249,253,439,482,524,643,645,664,829,872,898,905,997,1037,1047,1057,1103,1210,1295,1305,1409,1410,1443,1511,1553,1695,1720,1743,1763,1790,1794]"
2,random,pseudo,40,4,[0],40,36,"[78,185,202,304,357,382,386,458,465,512,516,588,725,772,824,855,957,981,1025,1029,1039,1059,1065,1177,1229,1236,1287,1336,1366,1388,1415,1445,1487,1677,1739,1768]"
2,random,true,5,1,"[4,6]",5,5,"[212,626,713,1221,1267]"
2,random,true,5,2,"[1,2,3,5,7,9]",5,5,"[159,371,593,856,973]"
2,random,true,5,3,[8],5,5,"[127,829,1047,1409,1410]"
2,random,true,5,4,[0],5,5,"[516,725,981,1065,1287]"
2,random,true,10,1,"[4,6]",10,10,"[4,239,581,603,711,871,873,1267,1732,1754]"
2,random,true,10,2,"[1,2,3,5,7,9]",10,10,"[33,43,477,709,745,940,1024,1130,1329,1554]"
2,random,true,10,3,[8],10,10,"[127,439,664,829,898,1103,1295,1443,1511,1553]"
2,random,true,10,4,[0],10,10,"[382,512,772,981,1065,1177,1229,1388,1487,1677]"
2,random,true,20,1,"[4,6]",20,20,"[58,67,121,171,360,557,603,704,817,984,1045,1115,1183,1267,1328,1441,1577,1601,1608,1671]"
2,random,true,20,2,"[1,2,3,5,7,9]",20,20,"[120,161,176,200,308,336,375,387,460,675,677,823,826,901,1108,1155,1339,1532,1548,1719]"
2,random,true,20,3,[8],20,20,"[127,168,253,439,482,524,643,645,829,898,1057,1103,1210,1295,1409,1410,1443,1553,1720,1743]"
2,random,true,20,4,[0],20,20,"[78,185,202,304,357,382,386,458,725,981,1025,1029,1039,1059,1065,1229,1415,1677,1739,1768]"
2,random,true,40,1,"[4,6]",40,40,"[4,26,58,67,97,121,146,171,239,270,324,343,360,420,427,454,603,687,704,756,810,863,871,876,882,968,984,1095,1244,1252,1345,1369,1411,1441,1473,1577,1623,1731,1733,1754]"
2,random,true,40,2,"[1,2,3,5,7,9]",40,40,"[31,113,117,142,169,200,258,273,375,391,398,471,484,621,677,823,853,860,865,868,906,944,994,1009,1060,1075,1108,1125,1259,1269,1270,1285,1309,1329,1438,1513,1622,1649,1657,1723]"
2,random,true,40,3,[8],40,35,"[76,127,168,183,249,253,439,482,524,643,645,664,829,872,898,905,997,1037,1047,1057,1103,1210,1295,1305,1409,1410,1443,1511,1553,1695,1720,1743,1763,1790,1794]"
2,random,true,40,4,[0],40,36,"[78,185,202,304,357,382,386,458,465,512,516,588,725,772,824,855,957,981,1025,1029,1039,1059,1065,1177,1229,1236,1287,1336,1366,1388,1415,1445,1487,1677,1739,1768]"
3,competence,pseudo,5,1,"[1,3,4,5,6,7,8]",5,5,"[419,530,923,1252,1645]"
3,competence,pseudo,5,2,[9],5,5,"[161,1027,1534,1676,1792]"
